Instance,N,M,Setup,Release,constructive_cmax,lahc_cmax,SA_cmax,RSA_cmax,Best_cmax,lahc_runtime,SA_runtime,RSA_runtime,lahc_timeToBest,SA_timeToBest,RSA_timeToBest,RPD LAHC,RPD_SA,RPD RSA
I_020_06_S_1-049_R_1.4_08.txt,20.0,6.0,1-049,1.4,1324.0,1299.0,1299.0,1299.0,1299.0,13.92,3.4,3.24,0.12,0.01,0.0,0.0,0.0,0.0
I_1000_06_S_1-049_R_1.4_07.txt,1000.0,6.0,1-049,1.4,70002.0,69994.0,69994.0,69993.0,69993.0,3003.77,3005.05,3005.22,5.74,0.0,1000.16,0.0,0.0,0.0
I_400_04_S_1-049_R_1.4_08.txt,400.0,4.0,1-049,1.4,28010.0,27994.0,27993.0,27993.0,27993.0,800.58,800.95,800.09,0.55,287.19,148.23,0.0,0.0,0.0
I_600_08_S_1-049_R_1.8_09.txt,600.0,8.0,1-049,1.8,53980.0,53973.0,53972.0,53972.0,53972.0,2400.3,2400.89,2402.43,1.05,124.8,209.46,0.0,0.0,0.0
I_200_06_S_1-099_R_1.4_07.txt,200.0,6.0,1-099,1.4,13942.0,13917.0,13917.0,13917.0,13917.0,600.01,600.04,600.12,27.42,2.11,4.98,0.0,0.0,0.0
I_1000_06_S_1-124_R_1.8_09.txt,1000.0,6.0,1-124,1.8,89933.0,89918.0,89918.0,89917.0,89917.0,3001.72,3007.23,3010.86,11.06,9.2,2091.86,0.0,0.0,0.0
I_800_04_S_1-099_R_1.0_06.txt,800.0,4.0,1-099,1.0,39222.0,39216.0,39216.0,39216.0,39216.0,1602.09,1601.68,1601.89,59.02,25.71,15.83,0.0,0.0,0.0
I_200_06_S_1-124_R_1.8_10.txt,200.0,6.0,1-124,1.8,17631.0,17603.0,17603.0,17603.0,17603.0,600.03,600.09,600.15,1.55,9.99,3.31,0.0,0.0,0.0
100on4Rp50Rs50Rr1.0_8_Rabadi.txt,100.0,4.0,50-100,1.0,7468.0,7437.0,7437.0,7437.0,7437.0,200.0,167.28,153.1,0.01,0.0,0.03,0.0,0.0,0.0
I_400_04_S_1-009_R_0.6_04.txt,400.0,4.0,1-009,0.6,11754.0,11750.0,11750.0,11750.0,11750.0,800.46,800.22,800.49,281.82,1.94,3.51,0.0,0.0,0.0
I_040_04_S_1-124_R_1.8_09.txt,40.0,4.0,1-124,1.8,3699.0,3621.0,3621.0,3621.0,3621.0,69.42,16.76,18.14,0.02,0.05,0.19,0.0,0.0,0.0
I_1000_06_S_1-049_R_1.0_05.txt,1000.0,6.0,1-049,1.0,50003.0,49992.0,49992.0,49991.0,49991.0,3000.81,3001.8,3003.44,3.16,268.41,2855.2,0.0,0.0,0.0
I_800_04_S_1-124_R_0.6_04.txt,800.0,4.0,1-124,0.6,23954.0,23945.0,23944.0,23944.0,23944.0,1602.68,1600.0,1601.49,172.87,259.34,87.38,0.0,0.0,0.0
I_400_06_S_1-099_R_1.8_10.txt,400.0,6.0,1-099,1.8,35948.0,35927.0,35926.0,35926.0,35926.0,1200.6,1201.08,1200.07,0.9,127.87,76.9,0.0,0.0,0.0
I_600_08_S_1-049_R_1.4_07.txt,600.0,8.0,1-049,1.4,41934.0,41927.0,41926.0,41926.0,41926.0,2400.62,2400.35,2402.2,1.68,344.23,187.66,0.0,0.0,0.0
